Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2024-05-24,189.1,189.69,187.16,187.94,36294600
2024-05-28,189.11,192.1,188.22,190.62,52280100
2024-05-29,189.4,191.36,188.63,188.73,53068000
2024-05-30,190.4,191.29,189.74,189.87,49947900
2024-05-31,191.36,191.67,189.03,190.55,75158300
2024-06-03,193.13,194.08,191.62,192.0,50080500
2024-06-04,193.45,194.41,192.13,193.73,47471400
2024-06-05,194.96,195.98,193.96,194.49,54156800
2024-06-06,193.57,195.59,193.27,194.78,41181800
2024-06-07,195.97,196.02,193.24,193.74,53103900
2024-06-10,192.22,196.38,191.26,195.98,97262100
2024-06-11,206.19,206.2,192.73,192.75,172373300
2024-06-12,212.08,219.17,205.94,206.4,198134300
2024-06-13,213.24,215.74,210.62,213.74,97862700
2024-06-14,211.5,214.17,210.32,212.85,70122700
2024-06-17,215.66,217.93,211.73,212.38,93728300
2024-06-18,213.29,217.61,212.01,216.58,79943300
2024-06-20,208.7,213.24,207.88,212.93,86172500
2024-06-21,206.52,210.9,206.15,209.41,246421400
2024-06-24,207.17,211.71,205.63,206.75,80727000
2024-06-25,208.1,210.4,207.64,208.18,56713900
2024-06-26,212.26,213.86,209.66,210.52,66213200
2024-06-27,213.1,214.74,211.36,213.69,49772700
2024-06-28,209.64,215.06,209.32,214.77,82542700
2024-07-01,215.74,216.5,210.93,211.1,60402900
2024-07-02,219.24,219.35,214.1,215.14,58046200
2024-07-03,220.52,220.52,218.01,218.98,37369800
2024-07-05,225.29,225.4,220.62,220.62,60412400
2024-07-08,226.76,226.79,222.21,226.03,59085900
2024-07-09,227.62,228.33,225.32,226.87,48076100
2024-07-10,231.9,232.0,228.18,228.23,62627700
2024-07-11,226.51,231.31,224.72,230.31,64710600
2024-07-12,229.47,231.56,227.62,227.85,53046500
2024-07-15,233.31,236.13,232.0,235.38,62631300
2024-07-16,233.73,235.17,231.25,233.91,43234300
2024-07-17,227.81,230.38,225.59,228.38,57345900
2024-07-18,223.14,229.37,221.24,229.21,66034600
2024-07-19,223.27,225.74,222.24,223.77,49151500
2024-07-22,222.92,226.72,222.05,225.95,48201800
2024-07-23,223.96,225.88,221.64,223.33,39960300
2024-07-24,217.52,223.75,216.12,222.96,61777600
2024-07-25,216.48,219.82,213.62,217.91,51391200
2024-07-26,216.95,218.47,215.0,217.68,41601300
2024-07-29,217.22,218.28,214.75,215.95,36311800
2024-07-30,217.78,219.3,215.11,218.17,41643800
2024-07-31,221.05,222.78,219.6,220.41,50036300
2024-08-01,217.34,223.44,216.01,223.33,62501000
2024-08-02,218.84,224.55,216.7,218.13,105568600
2024-08-05,208.3,212.51,195.09,198.16,119548600
2024-08-06,206.27,209.01,200.13,204.34,69660500
2024-08-07,208.84,212.65,205.43,205.94,63516400
2024-08-08,212.32,213.2,207.86,212.12,47161100
2024-08-09,215.23,215.77,210.98,211.11,42201600
2024-08-12,216.77,218.74,214.84,215.31,38028100
2024-08-13,220.49,221.11,218.24,218.24,44155300
2024-08-14,220.94,222.25,218.93,219.8,41960600
2024-08-15,223.93,224.56,221.98,223.81,46414000
2024-08-16,225.26,226.04,222.87,223.14,44340200
2024-08-19,225.1,225.2,222.26,224.93,40687800
2024-08-20,225.72,226.37,224.66,224.98,30299000
2024-08-21,225.61,227.18,224.26,225.73,34765500
2024-08-22,223.74,227.54,223.12,226.99,43695300
2024-08-23,226.05,227.42,223.54,224.87,38677300
2024-08-26,226.38,226.48,223.11,225.97,30602200
2024-08-27,227.23,228.05,224.1,225.21,35934600
2024-08-28,225.7,229.05,224.89,227.12,38052200
2024-08-29,228.99,232.1,228.08,229.29,51906300
2024-08-30,228.2,229.59,226.68,229.38,52990800
2024-09-03,221.99,228.2,220.4,227.75,50190600
2024-09-04,220.08,221.0,216.72,220.88,43840200
2024-09-05,221.6,224.69,220.74,220.85,36615400
2024-09-06,220.05,224.45,219.0,223.17,48423000
2024-09-09,220.14,220.49,215.95,220.05,67180000
2024-09-10,219.34,220.7,215.97,218.15,51591000
2024-09-11,221.88,222.31,217.13,220.68,44587100
2024-09-12,221.99,222.77,219.05,221.72,37498200
2024-09-13,221.72,223.26,221.13,222.8,36766600
2024-09-16,215.56,216.46,213.17,215.78,59357400
2024-09-17,216.03,216.14,213.75,214.99,45519300
2024-09-18,219.92,221.93,216.78,216.79,59894900
2024-09-19,228.07,229.01,223.84,224.2,66781300
2024-09-20,227.4,232.27,226.82,229.16,318679900
2024-09-23,225.68,228.65,225.02,226.54,54146000
2024-09-24,226.57,228.55,224.94,227.85,43556100
2024-09-25,225.58,226.49,223.24,224.14,42308700
2024-09-26,226.72,227.7,224.62,226.5,36636700
2024-09-27,226.99,228.72,226.5,227.66,34026000
2024-09-30,232.18,232.18,228.85,229.23,54541900
2024-10-01,225.42,228.85,222.96,228.72,63285000
2024-10-02,225.99,226.57,222.24,225.1,32880600
2024-10-03,224.88,226.02,222.54,224.35,34044200
2024-10-04,226.01,227.2,223.34,227.1,37245100
2024-10-07,220.91,224.9,220.55,223.71,39505400
2024-10-08,224.98,225.19,222.47,223.51,31855700
2024-10-09,228.74,228.95,224.04,224.44,33591100
2024-10-10,228.24,228.7,226.37,226.98,28183500
2024-10-11,226.75,228.61,226.54,228.5,31759200
2024-10-14,230.49,230.92,227.8,227.9,39882100
2024-10-15,233.03,236.66,231.56,232.79,64751400
2024-10-16,230.97,231.31,229.03,230.79,34082200
2024-10-17,231.34,233.03,229.71,232.61,32993800
2024-10-18,234.18,235.35,233.19,235.35,46431500
2024-10-21,235.65,236.02,233.63,233.63,36254500
2024-10-22,235.03,235.39,231.79,233.07,38846600
2024-10-23,229.95,234.32,226.96,233.26,52287000
2024-10-24,229.76,230.01,227.61,229.17,31109500
2024-10-25,230.6,232.4,228.77,228.94,38802300
2024-10-28,232.58,233.91,231.74,232.5,36087100
2024-10-29,232.85,233.51,231.51,232.28,35417200
2024-10-30,229.29,232.65,228.75,231.8,47070900
2024-10-31,225.12,229.02,224.58,228.54,64370100
2024-11-01,222.13,224.56,219.5,220.2,65276700
2024-11-04,221.23,222.01,218.94,220.22,44944500
2024-11-05,222.67,223.17,220.37,221.02,28111300
2024-11-06,221.94,225.28,220.42,221.83,54561100
2024-11-07,226.68,227.08,223.78,223.84,42137700
2024-11-08,226.41,228.11,225.87,226.62,38328800
2024-11-11,223.69,225.16,220.97,224.46,42005600
2024-11-12,223.69,225.05,222.82,224.01,40398300
2024-11-13,224.58,226.1,222.22,223.47,48566200
2024-11-14,227.67,228.32,224.46,224.48,44923900
2024-11-15,224.46,226.37,223.73,225.86,47923700
2024-11-18,227.47,229.19,224.63,224.71,44686000
2024-11-19,227.73,229.61,226.11,226.43,36211800
2024-11-20,228.45,229.38,225.35,227.51,35169600
2024-11-21,227.97,229.61,225.17,228.33,42108300
2024-11-22,229.32,230.16,227.51,227.51,38168300
2024-11-25,232.31,232.69,229.19,230.9,90152800
2024-11-26,234.49,235.0,232.77,232.77,45986200
2024-11-27,234.36,235.12,233.25,233.91,33498400
2024-11-29,236.76,237.24,233.41,234.24,28481400
2024-12-02,239.01,240.21,236.59,236.7,48137100
2024-12-03,242.07,242.18,238.33,239.23,38861000
2024-12-04,242.43,243.52,240.67,242.29,44383900
2024-12-05,242.46,243.95,241.55,243.4,40033900
2024-12-06,242.26,244.04,241.5,242.33,36870600
2024-12-09,246.16,246.65,241.17,241.25,44649200
2024-12-10,247.17,247.61,244.75,246.3,36914800
2024-12-11,245.9,250.2,245.67,247.36,45205800
2024-12-12,247.36,248.14,245.09,246.3,32777500
2024-12-13,247.53,248.69,245.65,247.22,33155300
2024-12-16,250.44,250.78,247.05,247.39,51694800
2024-12-17,252.87,253.22,249.18,249.48,51356400
2024-12-18,247.45,253.67,247.14,251.55,56774100
2024-12-19,249.19,251.39,246.5,246.9,60882300
2024-12-20,253.88,254.39,245.1,247.44,147495300
2024-12-23,254.66,255.03,252.84,254.16,40858800
2024-12-24,257.58,257.59,254.68,254.88,23234700
2024-12-26,258.4,259.47,257.01,257.57,27237100
2024-12-27,254.97,258.08,252.45,257.21,42355300
2024-12-30,251.59,252.89,250.15,251.62,35557500
2024-12-31,249.82,252.67,248.83,251.83,39480700
2025-01-02,243.26,248.5,241.24,248.33,55740700
2025-01-03,242.77,243.59,241.31,242.77,40244100
2025-01-06,244.41,246.73,242.61,243.72,45045600
2025-01-07,241.63,244.96,240.77,242.4,40856000
2025-01-08,242.12,243.12,239.47,241.34,37628900
2025-01-10,236.28,239.58,232.44,239.43,61710900
2025-01-13,233.84,234.11,229.17,232.97,49630700
2025-01-14,232.72,235.55,231.91,234.19,39435300
2025-01-15,237.3,238.38,233.87,234.08,39832000
2025-01-16,227.71,237.44,227.48,236.78,71759100
2025-01-17,229.43,231.73,227.93,231.56,68488300
2025-01-21,222.1,223.88,218.85,223.46,98070400
2025-01-22,223.29,223.58,219.26,219.26,64126500
2025-01-23,223.12,226.48,221.77,224.2,60234800
2025-01-24,222.24,225.09,220.88,224.24,54697900
2025-01-27,229.31,231.59,223.44,223.48,94863400
2025-01-28,237.69,239.61,230.25,230.29,75707600
2025-01-29,238.78,239.28,233.45,233.56,45486100
2025-01-30,237.02,240.21,236.64,238.1,55658300
2025-01-31,235.43,246.6,232.88,246.6,101075100
2025-02-03,227.46,231.27,225.16,229.44,73063300
2025-02-04,232.24,232.57,226.1,226.7,45067300
2025-02-05,231.91,232.11,227.72,227.98,39620300
2025-02-06,232.66,233.24,229.88,230.73,29925300
2025-02-07,227.08,233.44,226.71,232.04,39707200
2025-02-10,227.35,230.29,226.9,229.27,33115600
2025-02-11,232.32,234.92,227.83,227.9,53718400
2025-02-12,236.56,236.65,230.38,230.9,45243300
2025-02-13,241.21,242.02,235.26,236.6,53614100
2025-02-14,244.28,245.23,240.67,240.93,40896200
2025-02-18,244.15,244.86,241.52,243.83,48822500
2025-02-19,244.55,245.69,242.84,244.34,32204200
2025-02-20,245.51,246.46,243.97,244.62,32316900
2025-02-21,245.23,248.36,244.9,245.63,53197400
2025-02-24,246.78,248.53,244.1,244.61,51326400
2025-02-25,246.72,249.67,244.59,247.68,48013300
2025-02-26,240.05,244.66,238.82,244.01,44433600
2025-02-27,236.99,242.14,236.75,239.1,41153600
2025-02-28,241.52,241.77,229.9,236.64,56833400
2025-03-03,237.72,243.71,235.8,241.47,47184000
2025-03-04,235.62,239.76,234.37,237.4,53798100
2025-03-05,235.43,236.24,228.93,235.11,47227600
2025-03-06,235.02,237.55,232.85,234.13,45170400
2025-03-07,238.76,241.05,234.45,234.8,46273600
2025-03-10,227.18,235.85,223.93,235.23,72071200
2025-03-11,220.55,225.54,217.17,223.52,76137400
2025-03-12,216.7,221.46,214.63,219.85,62547500
2025-03-13,209.41,216.56,208.15,215.67,61368300
2025-03-14,213.21,213.67,209.31,210.97,60107600
2025-03-17,213.72,214.94,209.7,213.03,48073400
2025-03-18,212.41,214.87,211.21,213.88,42432400
2025-03-19,214.96,218.47,213.47,213.94,54385400
2025-03-20,213.82,217.21,211.94,213.71,48862900
2025-03-21,217.98,218.55,211.0,211.28,94127800
2025-03-24,220.44,221.19,218.29,220.71,44299500
2025-03-25,223.46,223.81,219.79,220.48,34493600
2025-03-26,221.24,224.73,220.18,223.22,34466100
2025-03-27,223.56,224.7,220.27,221.1,37094800
2025-03-28,217.61,223.52,217.39,221.38,39818600
2025-03-31,221.84,225.32,215.95,216.73,65299300
2025-04-01,222.9,223.39,218.61,219.52,36412700
2025-04-02,223.6,224.9,220.73,221.03,35905900
2025-04-03,202.92,207.22,200.99,205.27,103419000
2025-04-04,188.13,199.62,187.09,193.64,125910900
2025-04-07,181.22,193.9,174.39,176.97,160466300
2025-04-08,172.19,190.09,168.99,186.46,120859500
2025-04-09,198.59,200.35,171.66,171.72,184395900
2025-04-10,190.17,194.52,182.76,188.82,121880000
2025-04-11,197.89,199.28,185.82,185.86,87435900
2025-04-14,202.25,212.66,200.9,211.16,101352900
2025-04-15,201.88,203.24,199.54,201.6,51343900
2025-04-16,194.02,200.44,192.12,198.1,59732400
2025-04-17,196.72,198.57,194.17,196.94,51334300
2025-04-21,192.91,193.55,189.56,193.02,46742500
2025-04-22,199.48,201.33,195.71,195.86,52976400
2025-04-23,204.33,207.73,202.53,205.73,52929200
2025-04-24,208.1,208.56,202.67,204.62,47311000
2025-04-25,209.01,209.48,205.93,206.1,38222300
2025-04-28,209.86,211.22,207.19,209.72,38743100
2025-04-29,210.93,211.96,208.1,208.42,36827600
2025-04-30,212.22,213.3,206.4,209.03,52286500
2025-05-01,213.04,214.28,208.63,208.81,57365700
2025-05-02,205.08,206.72,201.9,205.82,101010600
2025-05-05,198.63,203.83,197.95,202.83,69018500
2025-05-06,198.25,200.39,196.76,197.95,51216500
2025-05-07,195.99,199.18,193.0,198.91,68536700
2025-05-08,197.23,199.79,194.43,197.46,50478900
2025-05-09,198.27,200.28,197.28,198.74,36453900
2025-05-12,210.79,211.27,206.75,210.97,63775800
2025-05-13,212.93,213.4,209.0,210.43,51909300
2025-05-14,212.33,213.94,210.58,212.43,49325800
2025-05-15,211.45,212.96,209.54,210.95,45029500
2025-05-16,211.26,212.57,209.77,212.36,54737900
2025-05-19,208.78,209.48,204.26,207.91,46140500
2025-05-20,206.86,208.47,205.03,207.67,42496600
2025-05-21,202.09,207.04,200.71,205.17,59211800
2025-05-22,201.36,202.75,199.7,200.71,46742400
2025-05-23,195.27,197.7,193.46,193.67,78314800
