Date,Close,High,Low,Open,Volume
,GOOG,GOOG,GOOG,GOOG,GOOG
2024-05-24,175.5,176.47,174.37,175.69,11400600
2024-05-28,177.18,177.67,174.85,174.91,15655300
2024-05-29,176.56,177.39,175.43,175.98,15023800
2024-05-30,172.74,175.86,172.41,175.86,18844000
2024-05-31,173.14,173.6,170.16,172.58,28085200
2024-06-03,173.6,175.03,171.64,173.06,20742800
2024-06-04,174.3,174.36,172.4,173.63,14066600
2024-06-05,176.24,177.13,174.46,175.7,15233900
2024-06-06,177.51,177.87,176.37,176.59,14255800
2024-06-07,175.12,178.57,174.96,177.62,14716300
2024-06-10,176.0,177.83,173.76,175.82,17122200
2024-06-11,177.55,177.75,174.81,177.08,14402400
2024-06-12,178.92,181.43,177.14,179.11,18600400
2024-06-13,176.11,177.87,176.03,177.2,15956900
2024-06-14,177.73,178.09,175.22,175.22,12361600
2024-06-17,178.14,179.28,175.86,176.35,15272900
2024-06-18,175.82,178.27,174.99,178.15,15640300
2024-06-20,177.07,178.1,175.83,176.08,16753200
2024-06-21,179.61,181.86,177.42,177.85,59728000
2024-06-24,180.14,181.43,179.58,180.63,18198300
2024-06-25,184.92,185.08,180.46,180.5,18917700
2024-06-26,184.71,185.26,183.33,183.54,13375700
2024-06-27,186.19,186.83,184.79,184.98,13025700
2024-06-28,182.76,185.91,182.67,185.05,23032400
2024-07-01,183.83,184.68,182.08,183.82,11815900
2024-07-02,185.94,186.28,182.4,182.81,12555500
2024-07-03,186.72,186.95,184.72,185.63,7409100
2024-07-05,191.27,191.57,186.65,186.65,14303400
2024-07-08,189.8,190.99,188.64,190.68,12097600
2024-07-09,189.76,192.17,189.55,191.06,10198500
2024-07-10,191.97,192.62,189.94,190.07,12052900
2024-07-11,186.63,191.72,186.15,190.65,16452000
2024-07-12,186.11,188.01,185.47,186.25,14449100
2024-07-15,187.52,189.22,185.82,185.82,12186000
2024-07-16,184.84,189.66,184.46,188.28,12760100
2024-07-17,181.97,184.57,180.97,184.02,17376600
2024-07-18,178.58,183.39,177.57,182.88,17877200
2024-07-19,178.75,181.32,178.22,179.72,14485900
2024-07-22,182.69,183.64,181.25,181.7,16303900
2024-07-23,182.94,184.56,182.67,183.18,23772600
2024-07-24,173.75,177.31,172.95,174.76,31250700
2024-07-25,168.55,174.57,168.44,173.63,28967900
