Date,Close,High,Low,Open,Volume
,META,META,META,META,META
2024-05-24,476.48,478.11,464.61,465.92,12012300
2024-05-28,478.18,479.11,473.11,474.85,10175800
2024-05-29,472.64,478.11,471.98,472.93,9226200
2024-05-30,465.35,470.02,463.02,469.96,10735200
2024-05-31,465.13,467.41,452.81,464.11,16919800
2024-06-03,475.75,477.86,466.54,469.15,11279400
2024-06-04,475.26,477.15,471.51,475.27,7088700
2024-06-05,493.26,494.84,482.15,482.69,15690500
2024-06-06,491.97,500.99,489.11,491.19,10667300
2024-06-07,491.17,497.1,488.39,494.11,9380700
2024-06-10,500.77,500.83,491.62,492.06,11236900
2024-06-11,505.63,505.75,496.46,498.34,9673700
2024-06-12,506.99,512.14,502.64,512.12,11983200
2024-06-13,502.27,507.51,499.54,503.87,9954600
2024-06-14,502.83,505.81,499.43,501.32,10243300
2024-06-17,505.29,509.4,494.7,500.34,11266600
2024-06-18,498.17,504.66,493.71,503.23,13060400
2024-06-20,500.37,502.34,495.46,500.67,11801200
2024-06-21,493.47,502.12,491.09,502.12,23130700
2024-06-24,497.59,506.46,492.98,497.88,13525300
2024-06-25,509.25,509.36,494.19,495.74,12109800
2024-06-26,511.76,512.45,503.34,505.31,8882300
2024-06-27,518.19,521.5,512.54,512.89,10121200
2024-06-28,502.89,520.5,502.51,515.78,15855100
2024-07-01,503.34,505.24,491.87,503.61,10328200
2024-07-02,508.15,509.15,498.13,499.44,7739500
2024-07-03,508.61,509.93,504.68,505.03,6005600
2024-07-05,538.48,539.44,510.25,510.25,21354100
2024-07-08,527.92,541.37,525.26,540.92,14917500
2024-07-09,528.6,536.06,526.79,532.34,8753200
2024-07-10,533.28,537.45,526.96,529.39,10983300
2024-07-11,511.34,534.04,507.03,529.49,16458300
2024-07-12,497.55,506.75,492.92,496.44,19750500
2024-07-15,494.85,505.34,492.06,497.31,12539200
2024-07-16,488.49,502.62,484.5,500.17,14075800
2024-07-17,460.77,477.9,457.91,477.9,28076600
2024-07-18,474.59,477.97,463.31,473.74,19267200
2024-07-19,475.53,485.42,474.45,474.8,15149400
2024-07-22,486.11,490.76,482.62,485.29,12023100
2024-07-23,487.4,493.91,486.43,488.54,9455500
2024-07-24,460.05,475.04,459.36,471.06,17649700
2024-07-25,452.21,462.32,441.48,462.03,18240500
2024-07-26,464.47,468.53,458.2,462.97,14222400
2024-07-29,464.48,472.71,463.79,468.64,11339600
2024-07-30,461.96,471.48,455.49,465.76,11390400
2024-07-31,473.57,475.24,465.52,469.77,24285800
2024-08-01,496.42,525.78,490.8,519.62,43083100
2024-08-02,486.85,499.82,474.89,487.71,24044700
2024-08-05,474.47,482.2,449.61,450.16,21396200
2024-08-06,492.78,501.23,477.38,477.73,20955000
2024-08-07,487.63,508.8,485.57,501.8,20105300
2024-08-08,508.28,508.61,493.41,496.18,16156800
2024-08-09,516.4,516.97,504.36,506.37,13696600
2024-08-12,514.58,516.65,507.75,515.49,9767400
2024-08-13,527.14,530.09,516.78,518.63,13743800
2024-08-14,525.37,532.59,521.75,526.66,11444200
2024-08-15,535.91,538.34,525.31,530.38,13482100
2024-08-16,526.02,532.25,523.27,530.49,14776700
2024-08-19,527.88,530.25,521.38,525.48,9879700
2024-08-20,525.34,529.68,524.49,526.95,7944400
2024-08-21,533.74,537.97,525.54,525.76,13423300
2024-08-22,530.52,542.79,527.19,535.58,15708300
2024-08-23,526.6,538.44,523.67,535.5,11323900
2024-08-26,519.74,526.6,513.59,526.2,9584000
2024-08-27,517.73,522.62,513.95,517.61,6282700
2024-08-28,515.41,519.71,511.09,516.3,9106100
2024-08-29,516.85,525.81,514.32,517.68,8317400
2024-08-30,519.93,522.15,513.84,519.97,9157500
2024-09-03,510.41,524.1,507.27,518.27,12459100
2024-09-04,511.38,515.22,502.74,504.73,8335200
2024-09-05,515.49,520.25,509.8,510.37,8640900
2024-09-06,498.95,523.19,496.93,520.5,14744500
2024-09-09,503.45,509.98,500.75,504.82,11047800
2024-09-10,503.45,512.82,498.71,506.82,9899000
2024-09-11,510.48,511.76,494.29,505.67,10782500
2024-09-12,524.21,525.32,513.86,515.68,11993300
2024-09-13,523.23,526.18,515.74,518.96,10321400
2024-09-16,532.38,533.2,516.52,523.65,9527600
2024-09-17,535.41,541.18,529.67,536.69,11690800
2024-09-18,537.04,543.28,533.0,536.16,10323500
2024-09-19,558.15,561.12,545.59,549.07,15647000
2024-09-20,560.4,563.54,555.36,559.05,22066800
2024-09-23,563.45,573.01,561.46,568.54,12830700
2024-09-24,562.38,566.79,553.25,565.72,12993000
2024-09-25,567.35,575.9,562.76,563.09,16543400
2024-09-26,566.88,576.42,561.4,574.75,14400800
2024-09-27,566.4,569.87,563.55,569.13,9398400
2024-09-30,571.47,573.71,563.84,566.74,12792300
2024-10-01,575.49,582.05,569.13,577.0,15259300
2024-10-02,571.84,575.02,568.38,573.89,6524700
2024-10-03,581.78,582.37,567.77,569.18,11581000
2024-10-04,594.93,595.84,580.44,582.74,14169500
2024-10-07,583.79,601.93,583.05,597.21,12014200
2024-10-08,591.89,592.55,584.98,588.69,7857400
2024-10-09,589.51,593.38,580.62,592.98,9529700
2024-10-10,582.84,589.23,581.53,586.57,7740400
2024-10-11,588.95,590.21,581.72,583.84,8587100
2024-10-14,589.42,599.08,588.96,593.21,8252000
2024-10-15,585.28,589.61,579.16,589.16,9564200
2024-10-16,575.81,581.09,573.06,580.42,11268400
2024-10-17,575.95,583.98,574.23,582.34,8701200
2024-10-18,575.49,582.98,574.28,580.12,7694300
2024-10-21,574.19,576.26,568.15,575.05,8171900
2024-10-22,581.02,582.54,571.15,573.32,8544500
2024-10-23,562.74,584.01,561.55,578.99,14248400
2024-10-24,566.82,567.92,560.57,566.17,7184700
2024-10-25,572.28,580.31,570.75,572.96,11337900
2024-10-28,577.18,582.76,573.15,581.01,10925100
2024-10-29,592.27,592.66,574.43,579.17,13019100
2024-10-30,590.8,600.18,588.38,599.96,26864900
2024-10-31,566.62,588.9,562.06,584.01,26838400
2024-11-01,566.2,572.7,561.61,566.65,15303200
2024-11-04,559.73,567.73,556.94,563.14,12064600
2024-11-05,571.46,572.51,565.71,566.34,9775400
2024-11-06,571.08,572.03,554.23,561.8,18305400
2024-11-07,590.7,593.79,574.24,575.91,14653700
2024-11-08,588.34,592.1,583.53,590.54,9415700
2024-11-11,582.18,586.01,575.53,585.37,10209100
2024-11-12,583.83,598.64,579.4,587.54,16287700
2024-11-13,579.02,584.65,574.2,581.62,10757600
2024-11-14,576.18,579.78,572.04,576.02,11053700
