Date,Close,High,Low,Open,Volume
,TSLA,TSLA,TSLA,TSLA,TSLA
2024-05-24,179.24,180.08,173.73,174.84,65479700
2024-05-28,176.75,178.25,173.16,176.4,59736600
2024-05-29,176.19,178.15,173.93,174.19,54782600
2024-05-30,178.79,182.67,175.38,178.58,77784800
2024-05-31,178.08,180.32,173.82,178.5,67314600
2024-06-03,176.29,182.64,174.49,178.13,68568900
2024-06-04,174.77,177.76,174.0,174.78,60056300
2024-06-05,175.0,176.15,172.13,175.35,57953800
2024-06-06,177.94,179.73,172.73,174.6,69887000
2024-06-07,177.48,179.35,175.58,176.13,56244900
2024-06-10,173.79,178.57,173.17,176.06,50869700
2024-06-11,170.66,174.75,167.41,173.92,64761900
2024-06-12,177.29,180.55,169.8,171.12,90389400
2024-06-13,182.47,191.08,181.23,188.39,118984100
2024-06-14,178.01,186.0,176.92,185.8,82038200
2024-06-17,187.44,188.81,177.0,177.92,109786100
2024-06-18,184.86,187.2,182.37,186.56,68982300
2024-06-20,181.57,185.21,179.66,184.68,55893100
2024-06-21,183.01,183.95,180.69,182.3,63029500
2024-06-24,182.58,188.8,182.55,184.97,61992100
2024-06-25,187.35,187.97,182.01,184.4,63678300
2024-06-26,196.37,197.76,186.36,186.54,95737100
2024-06-27,197.42,198.72,194.05,195.17,72746500
2024-06-28,197.88,203.2,195.26,199.55,95438100
2024-07-01,209.86,213.23,200.85,201.02,135691400
2024-07-02,231.26,231.3,218.06,218.89,205047900
2024-07-03,246.39,248.35,234.25,234.56,166561500
2024-07-05,251.52,252.37,242.46,249.81,154501200
2024-07-08,252.94,259.44,244.57,247.71,157219600
2024-07-09,262.33,265.61,250.3,251.0,160210900
2024-07-10,263.26,267.59,257.86,262.8,128519400
2024-07-11,241.03,271.0,239.65,263.3,221707300
2024-07-12,248.23,251.84,233.09,235.8,155955800
2024-07-15,252.64,265.6,251.73,255.97,146912900
2024-07-16,256.56,258.62,245.8,255.31,126332500
2024-07-17,248.5,258.47,246.18,252.73,115584800
2024-07-18,249.23,257.14,247.2,251.09,110869000
2024-07-19,239.2,249.44,236.83,247.79,87403900
2024-07-22,251.51,253.21,243.75,244.21,101225400
2024-07-23,246.38,255.76,245.63,253.6,111928200
2024-07-24,215.99,225.99,214.71,225.42,167942900
2024-07-25,220.25,226.0,216.23,216.8,100636500
2024-07-26,219.8,222.28,215.33,221.19,94604100
2024-07-29,232.1,234.27,224.7,224.9,129201800
2024-07-30,222.62,232.41,220.0,232.25,100560300
2024-07-31,232.07,234.68,226.79,227.9,67497000
2024-08-01,216.86,231.87,214.33,227.69,83861900
2024-08-02,207.67,216.13,205.78,214.88,82880100
2024-08-05,198.88,203.88,182.0,185.22,100308800
2024-08-06,200.64,202.9,192.67,200.75,73783900
2024-08-07,191.76,203.49,191.48,200.77,71159800
2024-08-08,198.84,200.7,192.04,195.7,65033900
2024-08-09,200.0,200.88,195.11,197.05,58648300
2024-08-12,197.49,199.26,194.67,199.02,64044900
2024-08-13,207.83,208.49,197.06,198.47,76247400
2024-08-14,201.38,208.44,198.75,207.39,70250000
2024-08-15,214.14,215.88,204.82,205.02,89848500
2024-08-16,216.12,219.8,210.8,211.15,88765100
2024-08-19,222.72,222.98,214.09,217.07,76435200
2024-08-20,221.1,228.22,219.56,224.88,74001200
2024-08-21,223.27,224.66,218.86,222.67,70146000
2024-08-22,210.66,224.8,210.32,223.82,79514500
2024-08-23,220.32,221.48,214.21,214.46,81525200
2024-08-26,213.21,219.09,211.01,218.75,59301200
2024-08-27,209.21,215.66,206.94,213.25,62821400
2024-08-28,205.75,211.84,202.59,209.72,64116400
2024-08-29,206.28,214.89,205.97,209.8,62308800
2024-08-30,214.11,214.57,207.03,208.63,63370600
2024-09-03,210.6,219.9,209.64,215.26,76714200
2024-09-04,219.41,222.22,210.57,210.59,80651800
2024-09-05,230.17,235.0,222.25,223.49,119355000
2024-09-06,210.73,233.6,210.51,232.6,112177000
2024-09-09,216.27,219.87,213.67,216.2,67443500
2024-09-10,226.17,226.4,218.64,220.07,78891100
2024-09-11,228.13,228.47,216.8,224.55,83548600
2024-09-12,229.81,231.45,223.83,224.66,72020000
2024-09-13,230.29,232.67,226.32,228.0,59515100
2024-09-16,226.78,229.96,223.53,229.3,54323000
2024-09-17,227.87,234.57,226.55,229.45,66761600
2024-09-18,227.2,235.68,226.88,230.09,78010200
2024-09-19,243.92,244.24,232.13,234.0,102694600
2024-09-20,238.25,243.99,235.92,241.52,99879100
2024-09-23,250.0,250.0,241.92,242.61,86927200
2024-09-24,254.27,257.19,249.05,254.08,88491000
2024-09-25,257.02,257.05,252.28,252.54,65034300
2024-09-26,254.22,261.75,251.53,260.6,67142200
2024-09-27,260.46,260.7,254.12,257.38,70988100
